title,plot,genre
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action,Crime,Drama"
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","Action,Adventure,Sci-Fi"
The Shawshank Redemption,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Drama"
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama"
The Godfather,"The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant son.","Crime,Drama"
Fight Club,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","Drama"
Forrest Gump,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75.","Drama,Romance"
The Matrix,"A computer programmer discovers that reality as he knows it is a simulation created by machines, and joins a rebellion to break free.","Action,Sci-Fi"
Goodfellas,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito.","Biography,Crime,Drama"
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime,Drama,Thriller"
The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation,Adventure,Drama"
Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Drama,Romance"
The Avengers,"Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.","Action,Adventure,Sci-Fi"
Jurassic Park,"A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","Action,Adventure,Sci-Fi"
The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama,Horror"
A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime,Sci-Fi,Thriller"
The Exorcist,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.","Horror"
Halloween,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","Horror,Thriller"
The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.","Horror,Mystery,Thriller"
Get Out,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","Horror,Mystery,Thriller"
The Hangover,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.","Comedy"
Bridesmaids,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.","Comedy,Romance"
Superbad,"Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.","Comedy"
The 40-Year-Old Virgin,"Goaded by his buddies, a nerdy guy who's never done the deed only finds the pressure mounting when he meets a single mother.","Comedy,Romance"
Shaun of the Dead,"A man decides to turn his moribund life around by winning back his ex-girlfriend, reconciling his relationship with his mother, and dealing with an entire community that has returned from the dead to eat the living.","Comedy,Horror"
The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Adventure,Comedy,Family"
Indiana Jones and the Raiders of the Lost Ark,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against a group of Nazis.","Action,Adventure"
Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action,Adventure,Fantasy"
The Lord of the Rings: The Fellowship of the Ring,"A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","Action,Adventure,Drama"
Harry Potter and the Sorcerer's Stone,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Adventure,Family,Fantasy"
The Wizard of Oz,"Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.","Adventure,Family,Fantasy"
The Notebook,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.","Drama,Romance"
La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","Comedy,Drama,Music"
Casablanca,"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","Drama,Romance,War"
Gone with the Wind,"A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.","Drama,History,Romance"
The Sound of Music,"A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.","Biography,Drama,Family"
The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography,Drama,History"
Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography,Drama,History"
The Green Mile,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Crime,Drama,Fantasy"
The Departed,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Crime,Drama,Thriller"
The Usual Suspects,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime,Drama,Mystery"
Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.","Crime,Drama,Mystery"
The Sixth Sense,"A boy who communicates with spirits seeks the help of a disheartened child psychologist.","Drama,Mystery,Thriller"
The Ring,"A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.","Horror,Mystery"
Paranormal Activity,"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.","Horror,Mystery,Thriller"
Insidious,"A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.","Horror,Mystery,Thriller"
The Babadook,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled Mister Babadook manifests in their home.","Drama,Horror"
Hereditary,"A grieving family is haunted by tragic and disturbing occurrences.","Drama,Horror,Mystery"
Midsommar,"A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.","Drama,Horror,Mystery"
The Witch,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.","Drama,Horror,Mystery"
Interstellar,"A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","Adventure,Drama,Sci-Fi"
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Action,Drama,Sci-Fi"
Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","Horror,Sci-Fi"
The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","Action,Sci-Fi"
Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","Adventure,Comedy,Sci-Fi"
E.T. the Extra-Terrestrial,"A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.","Adventure,Family,Sci-Fi"
Close Encounters of the Third Kind,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO.","Drama,Sci-Fi"
Contact,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine.","Drama,Mystery,Sci-Fi"
Arrival,"A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","Drama,Mystery,Sci-Fi"
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Adventure,Drama,Sci-Fi"
Gravity,"Two astronauts work together to survive after an accident which leaves them alone in space.","Drama,Sci-Fi,Thriller"
The Social Network,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","Biography,Drama"
The Big Short,"In 2006-2007 a group of investors bet against the US mortgage market. In their research, they discover how flawed and corrupt the market is.","Biography,Comedy,Drama"
Moneyball,"Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","Biography,Drama,Sport"
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography,Comedy,Crime"
Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography,Crime,Drama"
The Aviator,"A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.","Biography,Drama"
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography,Drama,Sport"
Rocky,"A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.","Drama,Sport"
Remember the Titans,"The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.","Biography,Drama,Sport"
The Blind Side,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.","Biography,Drama,Sport"
Million Dollar Baby,"Frankie, a hardened trainer, helps Maggie, an underdog amateur boxer, achieve her dream of becoming a professional.","Drama,Sport"
The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","Drama,Sport"
The Fighter,"The story of the early years of boxer Irish Micky Ward and his brother who helped train him before going pro in the mid 1980s.","Biography,Drama,Sport"
Creed,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Drama,Sport"
The Karate Kid,"A handyman/martial arts master agrees to teach a bullied boy karate and shows him that there is more to the martial art than fighting.","Action,Drama,Family"
Enter the Dragon,"A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there.","Action,Crime,Drama"
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Drama"
John Wick,"An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.","Action,Crime,Thriller"
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Action,Adventure,Sci-Fi"
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Action,Adventure,Comedy"
Guardians of the Galaxy,"A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.","Action,Adventure,Comedy"
Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.","Action,Adventure,Drama"
Wonder Woman,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.","Action,Adventure,Fantasy"
Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","Action,Adventure,Sci-Fi"
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation,Action,Adventure"
Toy Story,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","Animation,Adventure,Comedy"
Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy"
Up,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.","Animation,Adventure,Comedy"
Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation,Adventure,Comedy"
Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation,Adventure,Comedy"
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Animation,Adventure,Comedy"
Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.","Animation,Adventure,Comedy"
Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","Animation,Adventure,Comedy"
The Little Mermaid,"A mermaid princess makes a Faustian bargain with an unscrupulous sea-witch in order to meet a human prince on land.","Animation,Adventure,Family"
Beauty and the Beast,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","Animation,Family,Fantasy"
Aladdin,"A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","Animation,Adventure,Comedy"
The Jungle Book,"Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.","Animation,Adventure,Family"
The Aristocats,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.","Animation,Adventure,Comedy"
101 Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.","Animation,Adventure,Comedy"
Bambi,"The story of a young deer growing up in the forest.","Animation,Drama,Family"
Snow White and the Seven Dwarfs,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","Animation,Adventure,Family" 